Unnamed: 0,movieId,genres,title
0,1,Adventure|Animation|Children|Comedy|Fantasy,Toy Story
1,2,Adventure|Children|Fantasy,Jumanji
2,3,Comedy|Romance,Grumpier Old Men
3,4,Comedy|Drama|Romance,Waiting to Exhale
4,5,Comedy,Father of the Bride Part II
5,6,Action|Crime|Thriller,Heat
6,7,Comedy|Romance,Sabrina
7,8,Adventure|Children,Tom and Huck
8,9,Action,Sudden Death
9,10,Action|Adventure|Thriller,GoldenEye
10,11,Comedy|Drama|Romance,"American President, The"
11,12,Comedy|Horror,Dracula: Dead and Loving It
12,13,Adventure|Animation|Children,Balto
13,14,Drama,Nixon
14,15,Action|Adventure|Romance,Cutthroat Island
15,16,Crime|Drama,Casino
16,17,Drama|Romance,Sense and Sensibility
17,18,Comedy,Four Rooms
18,19,Comedy,Ace Ventura: When Nature Calls
19,20,Action|Comedy|Crime|Drama|Thriller,Money Train
20,21,Comedy|Crime|Thriller,Get Shorty
21,22,Crime|Drama|Horror|Mystery|Thriller,Copycat
22,23,Action|Crime|Thriller,Assassins
23,24,Drama|Sci-Fi,Powder
24,25,Drama|Romance,Leaving Las Vegas
25,26,Drama,Othello
26,27,Children|Drama,Now and Then
27,28,Drama|Romance,Persuasion
28,29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The"
29,30,Crime|Drama,Shanghai Triad
30,31,Drama,Dangerous Minds
31,32,Mystery|Sci-Fi|Thriller,Twelve Monkeys
32,33,Adventure|Romance|IMAX,Wings of Courage
33,34,Children|Drama,Babe
34,35,Drama|Romance,Carrington
35,36,Crime|Drama,Dead Man Walking
36,37,Documentary|IMAX,Across the Sea of Time
37,38,Children|Comedy,It Takes Two
38,39,Comedy|Romance,Clueless
39,40,Drama,"Cry, the Beloved Country"
40,41,Drama|War,Richard III
41,42,Action|Crime|Drama,Dead Presidents
42,43,Drama,Restoration
43,44,Action|Adventure|Fantasy,Mortal Kombat
44,45,Comedy|Drama|Thriller,To Die For
45,46,Drama|Romance,How to Make an American Quilt
46,47,Mystery|Thriller,Seven
47,48,Animation|Children|Drama|Musical|Romance,Pocahontas
48,49,Drama|Romance,When Night Is Falling
49,50,Crime|Mystery|Thriller,"Usual Suspects, The"
50,51,Action|Drama|Thriller,Guardian Angel
51,52,Comedy|Drama|Romance,Mighty Aphrodite
52,53,Adventure|Drama,Lamerica
53,54,Children|Comedy,"Big Green, The"
54,55,Drama,Georgia
55,56,Adventure|Children|Comedy|Fantasy,Kids of the Round Table
56,57,Drama,Home for the Holidays
57,58,Comedy|Drama|Romance,"Postman, The"
58,59,Drama|Mystery,"Confessional, The"
59,60,Adventure|Children|Fantasy,"Indian in the Cupboard, The"
60,61,Drama|Thriller,Eye for an Eye
61,62,Drama,Mr. Holland's Opus
62,63,Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
63,64,Comedy|Romance,Two if by Sea
64,65,Comedy,Bio-Dome
65,66,Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace
66,67,Drama,Two Bits
67,68,Comedy|Romance,French Twist
68,69,Comedy,Friday
69,70,Action|Comedy|Horror|Thriller,From Dusk Till Dawn
70,71,Action,Fair Game
71,72,Comedy|Drama,Kicking and Screaming
72,73,Drama|War,"Misérables, Les"
73,74,Drama|Romance,Bed of Roses
74,75,Comedy|Drama,Big Bully
75,76,Action|Sci-Fi|Thriller,Screamers
76,77,Documentary,Nico Icon
77,78,Action|Crime|Drama|Thriller,"Crossing Guard, The"
78,79,Drama|Thriller,"Juror, The"
79,80,Children|Drama,"White Balloon, The"
80,81,Crime|Drama|Romance,Things to Do in Denver When You're Dead
81,82,Comedy|Drama,Antonia's Line
82,83,Drama|Romance,Once Upon a Time... When We Were Colored
83,84,Comedy|Drama,Last Summer in the Hamptons
84,85,Drama|Romance,Angels and Insects
85,86,Action|Adventure|Drama,White Squall
86,87,Children|Comedy,Dunston Checks In
87,88,Comedy,Black Sheep
88,89,Action|Thriller,Nick of Time
89,90,Drama,The Journey of August King
90,92,Drama|Horror|Thriller,Mary Reilly
91,93,Comedy|Horror|Romance,Vampire in Brooklyn
92,94,Comedy|Drama|Romance,Beautiful Girls
93,95,Action|Adventure|Thriller,Broken Arrow
94,96,Comedy|Drama,In the Bleak Midwinter
95,97,Crime|Drama,Hate
96,98,Action|Thriller,Shopping
97,99,Documentary,Heidi Fleiss: Hollywood Madam
98,100,Drama|Thriller,City Hall
99,101,Adventure|Comedy|Crime|Romance,Bottle Rocket
100,102,Comedy,Mr. Wrong
101,103,Mystery|Sci-Fi|Thriller,Unforgettable
102,104,Comedy,Happy Gilmore
103,105,Drama|Romance,"Bridges of Madison County, The"
104,106,Comedy|Drama,Nobody Loves Me
105,107,Adventure|Children|Comedy|Musical,Muppet Treasure Island
106,108,Documentary,Catwalk
107,109,Comedy|Drama|Thriller,Headless Body in Topless Bar
108,110,Action|Drama|War,Braveheart
109,111,Crime|Drama|Thriller,Taxi Driver
110,112,Action|Adventure|Comedy|Crime,Rumble in the Bronx
111,113,Drama|Mystery,Before and After
112,114,Drama,Margaret's Museum
113,115,Comedy,Happiness Is in the Field
114,116,Documentary,Anne Frank Remembered
115,117,Crime|Drama,"Young Poisoner's Handbook, The"
